도착 시군구 코드,이동시간합계,이동인구합계,평균이동시간,평균이동인구
11010,10239340,19809988.63,21.44332962658139,41.48627900742816
11020,10285410,20275545.43,21.16626949338799,41.72489562368552
11030,9488120,15247193.24,21.553622134890166,34.63618100452057
11040,9952210,18076235.5,21.950757408665424,39.86924113562776
11050,9761770,18715186.44,22.779080648059345,43.67186906270346
11060,9998260,16987577.97,21.985939743643307,37.355286383717015
11070,9102380,14518503.71,23.849072225453668,38.039814156880624
11080,10314120,19524264.96,22.508756576980407,42.60828139764789
11090,8765160,13079023.71,24.282441331202023,36.233294761016936
11100,8053130,11243990.02,25.102881812939323,35.04929792241393
11110,10256190,21371821.86,24.497542170056036,51.04791421241956
11120,9222310,17168619.43,25.066142275881376,46.66412832715896
11130,9470030,16908525.39,22.32828846076765,39.86665642602334
11140,10722260,24539297.75,22.322323030865764,51.08756282034734
11150,8445360,15658707.46,23.233772128915117,43.07819216220306
11160,10718780,22770901.22,25.496986160601722,54.16561896696908
11170,9072360,15011749.82,23.480407888607072,38.85229520161499
11180,7190250,8452662.47,24.394484798930616,28.67749329090175
11190,10842320,25824111.41,21.87790945209985,52.108549748478055
11200,9528980,16460914.02,22.215129819718797,38.37570672889745
11210,10091730,19700285.3,23.84246822927372,46.54340002882341
11220,11489820,29763430.8,22.959343939957076,59.4742863308835
11230,12904380,46152613.4,23.284572620501873,83.27745140318619
11240,11978610,36156898.5,25.605606525698356,77.2893779979992
11250,9596980,21996357.39,26.108476771106233,59.84084430370449
